Job title,Company name,Location,Skills,Links
Python Developer - Internship,TMentors -,"Maadi, Cairo, Egypt ",InternshipStudent ? IT/Software Development ? Engineering - Telecom/Technology ? Computer Science ? Python ? Software Development ? RPA ? Data Science ? AI ? Machine Learning ? Automation,/internship/ks2Azi1kboPo-Python-Developer---Internship-TMentors-Cairo-Egypt?o=9&l=sp&t=sj&a=python Developer|search-v3|hpb
,,,,
Python Developer,Bydotpy -,"New Cairo, Cairo, Egypt ",Full TimeExperienced ? 3+ Yrs of Exp ? IT/Software Development ? Engineering - Telecom/Technology ? Python ? Django ? Flask ? RESTful API ? Software Development ? Information Technology (IT) ? Software Engineering ? Frameworks,/jobs/p/o1CizTuLGoFT-Python-Developer-Bydotpy-Cairo-Egypt?o=10&l=sp&t=sj&a=python Developer|search-v3|hpb
,,,,
Lead Python Developer,Twerlo -,"Cairo, Egypt ",Full TimeWork From HomeManager ? 5 - 7 Yrs of Exp ? IT/Software Development ? Engineering - Telecom/Technology ? Python ? Agile ? Computer Science ? Design ? Development ? Engineering ? Information Technology (IT) ? Programming,/jobs/p/T9aZCc4VR1Wq-Lead-Python-Developer-Twerlo-Cairo-Egypt?o=11&l=sp&t=sj&a=python Developer|search-v3|hpb
,,,,
Senior Backend Engineer - Python,Trufla -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced ? 4+ Yrs of Exp ? IT/Software Development ? Engineering - Telecom/Technology ? Agile ? APIs ? AWS ? Computer Science ? Git ? Linux ? Python ? REST,/jobs/p/EGd9bPLppMK6-Senior-Backend-Engineer---Python-Trufla-Cairo-Egypt?o=12&l=sp&t=sj&a=python Developer|search-v3|hpb
,,,,
Senior Python (Django) Engineer,GetTechForce.com -,"Cairo, Egypt ",Full TimeWork From HomeExperienced ? 3 - 20 Yrs of Exp ? IT/Software Development ? Engineering - Telecom/Technology ? Development ? Computer Science ? Python ? Information Technology (IT) ? Software Development ? Web Applications ? Software ? Django,/jobs/p/VYoLHkdh5cpA-Senior-Python-Django-Engineer-GetTechForce-com-Cairo-Egypt?o=13&l=sp&t=sj&a=python Developer|search-v3|hpb
,,,,
Senior Odoo Developer,Ejadtech -,"Dokki, Giza, Egypt ",Full TimeExperienced ? 4 - 5 Yrs of Exp ? IT/Software Development ? Engineering - Telecom/Technology ? Computer Science ? Git ? HTML ? jQuery ? JavaScript ? XML ? Development ? Software Development,/jobs/p/6RZ8Uz58pxuQ-Senior-Odoo-Developer-Ejadtech-Giza-Egypt?o=14&l=sp&t=sj&a=python Developer|search-v3|hpb
,,,,
Research Software Development Engineer L2,TensorGraph -,"Maadi, Cairo, Egypt ",Full TimeExperienced ? 2 - 4 Yrs of Exp ? R&D/Science ? IT/Software Development ? Engineering - Telecom/Technology ? Computer Science ? Machine Learning ? NodeJS ? Python ? AWS ? Algorithms ? Data Structures,/jobs/p/yhXbcd0M8byl-Research-Software-Development-Engineer-L2-TensorGraph-Cairo-Egypt?o=15&l=sp&t=sj&a=python Developer|search-v3|hpb
